Date : 2024/09/17 16:56:08
Nom du projet : Pharynx-silicone-H3-2
Emplacement du projet : P:\Projets_2024\COSSE\Pharynx-silicone-H3-2\
L�gende : 
	Niveau de r�f�rence : 0
	Niveau courant : 3
	Param�tres Q4 : 
		Taille d'un �l�ment : 64
		Nombre maximum d'it�rations : 5
		Seuil de convergence : 0.001
Commentaires utilisateurs : 
	Op�rateur : 
	Lieu : 
	Date : 
	Distance Cam�ras : 
	Angle cam�ras : 
	Distance du Capteur � l'objet : 

X(px)	Y(px)	X0(mm)	Y0(mm)	Z0(mm)	DX(mm)	DY(mm)	DZ(mm)	
1094.00	1230.00	-7.75	-10.37	0.70	0.26	0.01	-0.05	
1157.00	1230.00	-5.17	-10.40	0.45	0.29	-0.01	-0.05	
1220.00	1230.00	-2.58	-10.39	0.51	0.30	-0.02	-0.08	
1283.00	1230.00	0.00	-10.26	1.05	0.29	-0.03	-0.10	
1346.00	1230.00	2.57	-10.11	1.69	0.28	-0.02	-0.08	
1409.00	1230.00	5.14	-10.11	1.73	0.27	-0.02	-0.07	
1472.00	1230.00	7.71	-10.15	1.56	0.27	-0.02	-0.03	
1535.00	1230.00	10.40	-10.53	0.04	0.29	-0.04	0.01	
1598.00	1230.00	13.21	-11.11	-2.37	0.30	-0.07	0.01	
1661.00	1230.00	16.06	-11.59	-4.32	0.28	-0.12	0.01	
1031.00	1293.00	-10.35	-12.98	1.02	0.29	-0.04	-0.11	
1094.00	1293.00	-7.76	-12.95	1.08	0.33	-0.03	-0.04	
1157.00	1293.00	-5.16	-12.88	1.21	0.36	-0.02	-0.02	
1220.00	1293.00	-2.58	-12.85	1.23	0.34	-0.03	-0.08	
1283.00	1293.00	0.00	-12.79	1.53	0.31	-0.02	-0.08	
1346.00	1293.00	2.58	-12.71	1.88	0.30	-0.01	-0.06	
1409.00	1293.00	5.15	-12.74	1.78	0.29	-0.01	-0.04	
1472.00	1293.00	7.76	-12.91	1.16	0.29	-0.01	0.01	
1535.00	1293.00	10.44	-13.23	-0.11	0.30	-0.03	0.05	
1598.00	1293.00	13.27	-13.89	-2.56	0.29	-0.08	0.04	
1661.00	1293.00	16.07	-14.24	-3.85	0.26	-0.12	0.02	
1031.00	1356.00	-10.36	-15.56	1.33	0.40	-0.05	-0.02	
1094.00	1356.00	-7.74	-15.37	1.94	0.43	-0.05	-0.01	
1157.00	1356.00	-5.15	-15.23	2.35	0.41	-0.04	-0.03	
1220.00	1356.00	-2.57	-15.17	2.41	0.37	-0.02	-0.06	
1283.00	1356.00	0.00	-15.24	2.28	0.35	0.00	-0.03	
1346.00	1356.00	2.57	-15.22	2.41	0.34	0.01	0.01	
1409.00	1356.00	5.16	-15.34	2.01	0.32	0.01	0.04	
1472.00	1356.00	7.79	-15.59	1.13	0.32	0.00	0.09	
1535.00	1356.00	10.50	-16.00	-0.36	0.32	-0.03	0.11	
1598.00	1356.00	13.33	-16.65	-2.66	0.31	-0.07	0.10	
1661.00	1356.00	16.15	-17.08	-4.12	0.20	-0.14	-0.00	
1031.00	1419.00	-10.37	-18.08	1.82	0.51	-0.06	0.06	
1094.00	1419.00	-7.72	-17.74	2.84	0.48	-0.06	-0.00	
1157.00	1419.00	-5.13	-17.57	3.43	0.44	-0.04	-0.04	
1220.00	1419.00	-2.57	-17.63	3.28	0.41	-0.01	0.00	
1283.00	1419.00	0.00	-17.61	3.32	0.39	0.03	0.04	
