Date : 2024/09/17 16:56:06
Nom du projet : Pharynx-silicone-H3-2
Emplacement du projet : P:\Projets_2024\COSSE\Pharynx-silicone-H3-2\
Légende : 
	Niveau de référence : 0
	Niveau courant : 1
	Paramètres Q4 : 
		Taille d'un élément : 64
		Nombre maximum d'itérations : 5
		Seuil de convergence : 0.001
Commentaires utilisateurs : 
	Opérateur : 
	Lieu : 
	Date : 
	Distance Caméras : 
	Angle caméras : 
	Distance du Capteur à l'objet : 

X(px)	Y(px)	X0(mm)	Y0(mm)	Z0(mm)	DX(mm)	DY(mm)	DZ(mm)	
1472.00	789.00	7.55	7.91	1.28	0.89	-0.05	-0.09	
1535.00	789.00	10.12	7.85	0.70	0.88	-0.08	-0.11	
1598.00	789.00	12.75	7.71	-0.44	0.87	-0.10	-0.13	
1661.00	789.00	15.47	7.51	-2.06	0.86	-0.12	-0.14	
1724.00	789.00	18.41	7.14	-4.98	0.85	-0.14	-0.16	
1787.00	789.00	21.35	6.88	-7.17	0.82	-0.15	-0.19	
968.00	852.00	-12.84	5.00	-1.13	0.74	0.23	0.02	
1031.00	852.00	-10.16	5.26	0.61	0.77	0.22	0.08	
1094.00	852.00	-7.56	5.46	1.94	0.84	0.19	0.17	
1157.00	852.00	-5.05	5.46	1.74	0.86	0.11	0.02	
1220.00	852.00	-2.53	5.40	1.41	0.86	0.07	-0.02	
1283.00	852.00	-0.01	5.31	0.93	0.85	0.04	-0.07	
1346.00	852.00	2.53	5.32	0.88	0.86	0.01	-0.09	
1409.00	852.00	5.05	5.37	1.24	0.87	-0.02	-0.09	
1472.00	852.00	7.59	5.32	1.01	0.85	-0.05	-0.13	
1535.00	852.00	10.16	5.26	0.49	0.85	-0.07	-0.13	
1598.00	852.00	12.81	5.10	-0.71	0.84	-0.10	-0.15	
1661.00	852.00	15.57	4.85	-2.52	0.83	-0.12	-0.17	
1724.00	852.00	18.50	4.45	-5.24	0.81	-0.13	-0.19	
1787.00	852.00	21.45	4.15	-7.44	0.79	-0.15	-0.21	
968.00	915.00	-12.85	2.45	-0.77	0.72	0.22	0.02	
1031.00	915.00	-10.21	2.61	0.32	0.74	0.22	0.09	
1094.00	915.00	-7.60	2.84	1.43	0.82	0.18	0.14	
1157.00	915.00	-5.07	2.85	1.35	0.83	0.11	-0.02	
1220.00	915.00	-2.55	2.71	0.66	0.83	0.08	-0.05	
1283.00	915.00	-0.00	2.65	0.32	0.82	0.05	-0.10	
1346.00	915.00	2.54	2.71	0.62	0.83	0.02	-0.10	
1409.00	915.00	5.07	2.78	1.05	0.83	-0.02	-0.12	
1472.00	915.00	7.62	2.74	0.83	0.82	-0.04	-0.15	
1535.00	915.00	10.21	2.65	0.21	0.81	-0.07	-0.16	
1598.00	915.00	12.88	2.44	-1.08	0.81	-0.09	-0.18	
1661.00	915.00	15.69	2.11	-3.28	0.80	-0.11	-0.19	
1724.00	915.00	18.62	1.69	-5.78	0.77	-0.12	-0.21	
1787.00	915.00	21.56	1.39	-7.77	0.75	-0.14	-0.24	
1031.00	978.00	-10.27	-0.05	-0.18	0.73	0.21	0.11	
1094.00	978.00	-7.67	0.10	0.38	0.80	0.17	0.08	
1157.00	978.00	-5.10	0.23	1.01	0.80	0.12	-0.01	
1220.00	978.00	-2.56	0.13	0.57	0.80	0.09	-0.06	
1283.00	978.00	0.00	0.00	0.00	0.79	0.05	-0.12	
1346.00	978.00	2.55	0.13	0.69	0.80	0.02	-0.12	
1409.00	978.00	5.10	0.16	0.85	0.80	-0.01	-0.16	
1472.00	978.00	7.65	0.14	0.72	0.80	-0.04	-0.17	
1535.00	978.00	10.25	0.05	0.19	0.79	-0.06	-0.19	
1598.00	978.00	12.95	-0.22	-1.35	0.78	-0.08	-0.19	
1661.00	978.00	15.81	-0.68	-3.89	0.77	-0.10	-0.20	
1724.00	978.00	18.72	-1.08	-6.17	0.73	-0.12	-0.25	
1787.00	978.00	21.67	-1.42	-8.10	0.73	-0.14	-0.24	
1031.00	1041.00	-10.29	-2.61	0.01	0.72	0.19	0.06	
1094.00	1041.00	-7.70	-2.53	0.29	0.75	0.17	0.03	
1157.00	1041.00	-5.12	-2.47	0.58	0.77	0.13	-0.01	
1220.00	1041.00	-2.57	-2.53	0.28	0.77	0.09	-0.08	
1283.00	1041.00	0.00	-2.53	0.33	0.76	0.06	-0.13	
1346.00	1041.00	2.55	-2.40	1.04	0.78	0.03	-0.13	
1409.00	1041.00	5.10	-2.35	1.23	0.77	-0.01	-0.17	
1472.00	1041.00	7.67	-2.42	0.91	0.77	-0.03	-0.19	
1535.00	1041.00	10.27	-2.52	0.38	0.76	-0.06	-0.20	
1598.00	1041.00	13.00	-2.89	-1.46	0.76	-0.08	-0.20	
1661.00	1041.00	15.90	-3.43	-4.30	0.75	-0.10	-0.20	
1724.00	1041.00	18.80	-3.85	-6.35	0.71	-0.13	-0.25	
1094.00	1104.00	-7.72	-5.13	0.35	0.71	0.17	-0.01	
1157.00	1104.00	-5.14	-5.11	0.50	0.74	0.14	-0.02	
1220.00	1104.00	-2.57	-5.13	0.43	0.74	0.09	-0.10	
1283.00	1104.00	0.00	-5.12	0.54	0.74	0.06	-0.15	
1346.00	1104.00	2.55	-4.95	1.38	0.76	0.03	-0.15	
1409.00	1104.00	5.10	-4.85	1.77	0.75	-0.01	-0.19	
1472.00	1104.00	7.68	-4.97	1.21	0.75	-0.03	-0.20	
1535.00	1104.00	10.30	-5.12	0.45	0.75	-0.05	-0.20	
1598.00	1104.00	13.04	-5.52	-1.42	0.75	-0.07	-0.20	
1661.00	1104.00	15.93	-6.09	-4.05	0.75	-0.10	-0.20	
1724.00	1104.00	18.87	-6.60	-6.36	0.70	-0.13	-0.27	
1094.00	1167.00	-7.74	-7.76	0.44	0.66	0.17	-0.03	
1157.00	1167.00	-5.16	-7.81	0.20	0.72	0.14	-0.02	
1220.00	1167.00	-2.58	-7.84	0.14	0.73	0.09	-0.11	
1283.00	1167.00	0.00	-7.71	0.73	0.72	0.05	-0.18	
1346.00	1167.00	2.56	-7.53	1.57	0.74	0.02	-0.18	
1409.00	1167.00	5.11	-7.45	1.84	0.73	-0.01	-0.22	
1472.00	1167.00	7.72	-7.66	0.98	0.73	-0.03	-0.21	
1535.00	1167.00	10.37	-7.88	-0.03	0.73	-0.05	-0.21	
1598.00	1167.00	13.08	-8.21	-1.40	0.74	-0.07	-0.19	
